[INFO] 2025-10-30 13:24:40,403 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 13:24:40,408 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 13:24:40,521 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 13:24:40,808 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-30 13:27:29,308 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 13:27:29,663 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 13:36:56,815 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 13:37:35,984 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 13:39:39,509 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-10-30 13:39:41,760 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-30 13:40:00,093 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[WARNING] 2025-10-30 13:40:19,338 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-30 13:41:06,216 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-30 13:41:06,758 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-30 13:56:29,901 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 13:56:43,548 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:00:17,472 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:00:19,785 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:00:19,809 | django.server | "GET /static/images/home.jpg HTTP/1.1" 404 1859
[WARNING] 2025-10-30 14:00:20,078 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 14:00:20,079 | django.server | "GET /favicon.ico HTTP/1.1" 404 11356
[WARNING] 2025-10-30 14:00:27,799 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:03:55,349 | django.server | "GET /static/images/home.jpg HTTP/1.1" 404 1859
[WARNING] 2025-10-30 14:03:55,350 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:03:58,974 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-10-30 14:03:59,007 | django.server | "GET /static/images/home.jpg HTTP/1.1" 404 1859
[WARNING] 2025-10-30 14:03:59,107 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-30 14:03:59,108 | django.server | "GET /favicon.ico HTTP/1.1" 404 11356
[WARNING] 2025-10-30 14:04:26,706 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
