[WARNING] 2025-10-25 13:53:11,321 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-25 13:53:11,323 | django.server | "GET /favicon.ico HTTP/1.1" 404 6781
[WARNING] 2025-10-25 14:03:46,444 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:09:30,616 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:09:43,160 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:10:54,653 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:15:16,684 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:15:22,940 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:15:27,386 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-25 14:27:11,845 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-25 14:27:12,724 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-25 14:27:17,716 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:27:18,029 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:27:18,036 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-25 14:27:51,517 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-25 14:27:51,874 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-25 14:27:56,523 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:27:56,816 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-25 14:27:56,816 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-25 14:28:02,637 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-25 14:28:02,985 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-25 14:28:10,090 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:28:10,403 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:28:10,407 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-25 14:33:56,565 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-25 14:33:56,964 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-25 14:34:03,969 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:34:04,291 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:34:04,291 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-25 14:39:53,590 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:40:18,188 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-25 14:41:51,075 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-25 14:41:51,504 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-25 14:41:58,058 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-25 14:41:58,059 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-25 14:41:58,059 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
